Pclass;Age;Fare;Embarked;FamilySize;GenderClass;Survived
P2;35;10,5;S;1;male;0
P3;6;31,275;S;7;child;0
P3;30,5;8,05;S;1;male;0
P1;28;14,4542;S;1;male;0
P3;23;7,925;S;1;female;0
P2;31;37,0042;C;3;male;0
P3;43;6,45;S;1;male;0
P3;10;27,9;S;6;child;0
P1;52;93,5;S;3;female;1
P3;27;8,6625;S;1;male;1
P1;38;14,4542;S;1;male;0
P3;27;12,475;S;2;female;1
P3;2;39,6875;S;6;child;0
P3;28;6,95;Q;1;male;0
P3;28;56,4958;S;1;male;0
P2;1;37,0042;C;3;child;1
P3;28;7,75;Q;1;male;1
P1;62;80;S;1;female;1
P3;15;14,4542;C;2;female;1
P2;0,83;18,75;S;3;child;1
P3;28;7,2292;C;1;male;0
P3;23;7,8542;S;1;male;0
P3;18;8,3;S;1;male;0
P1;39;83,1583;C;3;female;1
P3;21;8,6625;S;1;male;0
P3;28;8,05;S;1;male;0
P3;32;56,4958;S;1;male;1
P1;28;29,7;C;1;male;1
P3;20;7,925;S;1;male;0
P2;16;10,5;S;1;male;0
P1;30;31;C;1;female;1
P3;34,5;6,4375;C;1;male;0
P3;17;8,6625;S;1;male;0
P3;42;7,55;S;1;male;0
P3;28;69,55;S;11;male;0
P3;35;7,8958;C;1;male;0
P2;28;33;S;2;male;0
P1;28;89,1042;C;2;female;1
P3;4;31,275;S;7;child;0
P3;74;7,775;S;1;male;0
P3;9;15,2458;C;3;child;0
P1;16;39,4;S;2;female;1
P2;44;26;S;2;female;0
P3;18;9,35;S;2;female;1
P1;45;164,8667;S;3;female;1
P1;51;26,55;S;1;male;1
P3;24;19,2583;C;4;female;1
P3;28;7,2292;C;1;male;0
P3;41;14,1083;S;3;male;0
P2;21;11,5;S;2;male;0
P1;48;25,9292;S;1;female;1
P3;28;69,55;S;11;female;0
P2;24;13;S;1;male;0
P2;42;13;S;1;female;1
P2;27;13,8583;C;2;female;1
P1;31;50,4958;S;1;male;0
P3;28;9,5;S;1;male;0
P3;4;11,1333;S;3;child;1
P3;26;7,8958;S;1;male;0
P1;47;52,5542;S;3;female;1
P1;33;5;S;1;male;0
P3;47;9;S;1;male;0
P2;28;24;C;2;female;1
P3;15;7,225;C;1;female;1
P3;20;9,8458;S;1;male;0
P3;19;7,8958;S;1;male;0
P3;28;7,8958;S;1;male;0
P1;56;83,1583;C;2;female;1
P2;25;26;S;2;female;1
P3;33;7,8958;S;1;male;0
P3;22;10,5167;S;1;female;0
P2;28;10,5;S;1;male;0
P3;25;7,05;S;1;male;0
P3;39;29,125;Q;6;female;0
P2;27;13;S;1;male;0
P1;19;30;S;1;female;1
P3;28;23,45;S;4;female;0
P1;26;30;C;1;male;1
P3;32;7,75;Q;1;male;0
